Matt Barnes,1 (2019),"$1,600,000.00"
Blake Snell,5 (2019-23),"$50,000,000.00"
Luis Avilan,1 (2019),"$1,600,000.00"
Leury Garcia,1 (2019),"$1,550,000.00"
Taylor Rogers,1 (2019),"$1,525,000.00"
Chris Devenski,1 (2019),"$1,525,000.00"
Ryan Tepera,1 (2019),"$1,525,000.00"
Carl Edwards,1 (2019),"$1,500,000.00"
Cory Gearrin,1 (2019),"$1,500,000.00"
Drew Pomeranz,1 (2019),"$1,500,000.00"
Brett Anderson,1 (2019),"$1,500,000.00"
Matt Wieters,1 (2019),"$1,500,000.00"
Daniel Hudson,1 (2019),"$1,500,000.00"
Robbie Erlin,1 (2019),"$1,450,000.00"
T.J. McFarland,1 (2019),"$1,450,000.00"
Tim Anderson,6 (2017-22),"$25,000,000.00"
Ryan Buchter,1 (2019),"$1,400,000.00"
Hansel Robles,1 (2019),"$1,400,000.00"
Delino DeShields,1 (2019),"$1,400,000.00"
Aaron Loup,1 (2019),"$1,400,000.00"
Charlie Culberson,1 (2019),"$1,395,000.00"
Tommy Kahnle,1 (2019),"$1,387,500.00"
Steven Wright,1 (2019),"$1,375,000.00"
Dan Otero,2 (2018-19),"$2,500,000.00"
Aaron Altherr,1 (2019),"$1,350,000.00"
Tommy La Stella,1 (2019),"$1,350,000.00"
Heath Hembree,1 (2019),"$1,312,500.00"
Blaine Hardy,1 (2019),"$1,300,000.00"
Scott Oberg,1 (2019),"$1,300,000.00"
Brandon Drury,1 (2019),"$1,300,000.00"
Ehire Adrianza,1 (2019),"$1,300,000.00"
Hunter Strickland,1 (2019),"$1,300,000.00"
Jeremy Hellickson,1 (2019),"$1,300,000.00"
Daniel Norris,1 (2019),"$1,275,000.00"
Chaz Roe,1 (2019),"$1,275,000.00"
Alex Claudio,1 (2019),"$1,275,000.00"
Dominic Leone,1 (2019),"$1,260,000.00"
Tony Sipp,1 (2019),"$1,250,000.00"
Nick Hundley,1 (2019),"$1,250,000.00"
Matt Joyce,1 (2019),"$1,250,000.00"
Lucas Duda,1 (2019),"$1,250,000.00"
Josh Tomlin,1 (2019),"$1,250,000.00"
Greg Bird,1 (2019),"$1,200,000.00"
Erik Kratz,1 (2019),"$1,200,000.00"
Whit Merrifield,4 (2019-22),"$16,250,000.00"
Brandon Lowe,6 (2019-24),"$24,000,000.00"
Travis Jankowski,1 (2019),"$1,165,000.00"
Brandon Workman,1 (2019),"$1,150,000.00"
Melky Cabrera,1 (2019),"$1,150,000.00"
Kevin Plawecki,1 (2019),"$1,137,500.00"
Jose Martinez,2 (2019-20),"$3,250,000.00"
Adam Conley,1 (2019),"$1,125,000.00"
Adam Morgan,1 (2019),"$1,100,000.00"
Josh Phegley,1 (2019),"$1,075,000.00"
Nick Tropeano,1 (2019),"$1,075,000.00"
Neil Ramirez,1 (2019),"$1,000,000.00"
Brad Miller,1 (2019),"$1,000,000.00"
Mark Reynolds,1 (2019),"$1,000,000.00"
Chris Herrmann,1 (2019),"$1,000,000.00"
Jeanmar Gomez,1 (2019),"$1,000,000.00"
Peter Bourjos,1 (2019),"$1,000,000.00"
Hanley Ramirez,1 (2019),"$1,000,000.00"
Tony Wolters,1 (2019),"$960,000.00"
Curt Casali,1 (2019),"$950,000.00"
Matt Andriese,1 (2019),"$920,000.00"
Blake Swihart,1 (2019),"$910,000.00"
Roenis Elias,1 (2019),"$910,000.00"
Greg Garcia,1 (2019),"$910,000.00"
John Ryan Murphy,1 (2019),"$900,000.00"
Joe Biagini,1 (2019),"$900,000.00"
Trevor May,1 (2019),"$900,000.00"
Marco Gonzales,2 (2019-20),"$1,900,000.00"
Xavier Cedeno,1 (2019),"$900,000.00"
Jesus Sucre,1 (2019),"$850,000.00"
Ji-Man Choi,1 (2019),"$850,000.00"
Nate Karns,1 (2019),"$800,000.00"
Jesse Hahn,1 (2019),"$800,000.00"
Brian Flynn,1 (2019),"$800,000.00"
Guillermo Heredia,1 (2019),"$782,000.00"
Tony Barnette,1 (2019),"$750,000.00"
Alex Wilson,1 (2019),"$750,000.00"
Andrew Benintendi,1 (2019),"$717,500.00"
Yimi Garcia,1 (2019),"$710,000.00"
Gordon Beckham,1 (2019),"$700,000.00"
J.B. Shuck,1 (2019),"$700,000.00"
Josh Hader,1 (2019),"$687,600.00"
Aaron Judge,1 (2019),"$684,300.00"
Willson Contreras,1 (2019),"$684,000.00"
Niko Goodrum,1 (2019),"$670,500.00"
Gary Sanchez,1 (2019),"$669,800.00"
Shohei Ohtani,1 (2019),"$650,000.00"
Richard Rodriguez,1 (2019),"$650,000.00"
Scott Barlow,1 (2019),"$650,000.00"
Terrance Gore,1 (2019),"$650,000.00"
Alex Bregman,1 (2019),"$640,500.00"
Jesus Aguilar,1 (2019),"$637,500.00"
Scott Schebler,1 (2019),"$625,000.00"
Jose Berrios,1 (2019),"$620,000.00"
Miguel Andujar,1 (2019),"$617,600.00"
Albert Almora,1 (2019),"$615,500.00"
Rafael Devers,1 (2019),"$614,500.00"
Zac Rosscup,1 (2019),"$610,000.00"
Zack Godley,1 (2019),"$609,400.00"
Edwin Diaz,1 (2019),"$607,425.00"
Joey Gallo,1 (2019),"$605,500.00"
Gleyber Torres,1 (2019),"$605,200.00"
Cody Bellinger,1 (2019),"$605,000.00"
Chad Green,1 (2019),"$598,650.00"
Brandon Nimmo,1 (2019),"$598,285.00"
Nick Pivetta,1 (2019),"$598,000.00"
Jordan Montgomery,1 (2019),"$596,600.00"
Ross Stripling,1 (2019),"$595,000.00"
Justin Miller,1 (2019),"$593,200.00"
Mike Clevinger,1 (2019),"$592,200.00"
